Hour,Actual_Demand,Actual_Wind_CF,Scenario1_Demand,Scenario1_Wind,Scenario2_Demand,Scenario2_Wind,Scenario3_Demand,Scenario3_Wind
1,601.0328013693501,0.8901860743897697,564.6209000177874,0.6783343762762302,602.5332185885472,0.8693842512640134,651.0306289855761,0.9664520526884859
2,580.9983746570384,0.9458227040391303,497.5149075438493,0.734596379112068,566.2477505096867,0.9733048768009537,636.7591002370411,1.0
3,560.9639479447267,1.0,485.172243604107,0.842741813195413,599.7486334970929,1.0,641.3348706016545,1.0
4,550.9467345885708,0.9458227040391303,470.7034531980376,0.8636894306746897,542.0075489429771,0.8874606624464433,623.4904974536457,1.0
5,560.9639479447267,0.8901860743897697,545.2200256595104,0.7251304569775865,558.5925891897114,1.0,662.4213793660102,0.9506091316589417
6,580.9983746570384,0.7789128150910484,546.0259594973973,0.5705247290122645,548.5816522801771,0.8412535495906128,618.8489159933497,0.8223586454488282
7,621.0672280816617,0.6676395557923273,540.5335946625124,0.5961758426910212,673.8481139372933,0.8594954641096264,661.2680203508951,0.6363939478944188
8,681.1705082185968,0.44509303719488486,645.4883605575047,0.38407697800953766,597.7385291089796,0.3974362471840868,754.2678252066437,0.48115037186058
9,721.23936164322,0.3338197778961636,638.4852987378421,0.27125299061992214,720.6794994036046,0.32655772734528216,823.1693287659614,0.3623829498425725
10,761.3082150678434,0.278183148246803,729.6953383344771,0.2436007683367975,808.7101729138527,0.2657826143079227,760.4773367187519,0.32374612118538
11,801.3770684924667,0.22254651859744243,729.2901995692237,0.21439908051702594,700.5955568082824,0.2184952342709883,843.1379122207495,0.26208600872081167
12,821.4114952047784,0.1669098889480818,751.1721216026978,0.11632218780822284,821.4076491825846,0.14902367806559827,913.831821565161,0.20098806450895015
13,851.4631352732459,0.11127325929872121,775.614854984179,0.08780443929571909,910.3713505755346,0.11399482397605919,890.8010015591963,0.11814157345092763
14,861.4803486294018,0.11127325929872121,803.2850837179898,0.10944692532498143,842.135506997353,0.11872812689017857,930.1563997461179,0.16161155119942638
15,871.4975619855576,0.1669098889480818,755.3303993620056,0.12508898071586722,919.3972005525791,0.167020169415502,872.3218574883423,0.18198592377556183
